date,protocol,chain,tvl,tvl_start,tvl_current,tvl_delta
2024-07-08 00:00:00,Renzo,Base,2817515.67877,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,Renzo,Base,2934342.06739,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,Renzo,Base,3206469.60168,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:06:59,Renzo,Base,3963634.48222,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,Renzo,Mode,50371511.08867,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,Renzo,Mode,50651346.26765,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,Renzo,Mode,51287720.88623,400.21497,4099300.83197,4098900.617
2024-07-11 01:06:59,Renzo,Mode,51684381.45228,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,Morpho,Base,35835641.51398,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,Morpho,Base,37834098.9667,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,Morpho,Base,40104807.54124,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:00:00,Morpho,Base,41169211.911145,198614.72293,500739740.11673,500541125.39379996
2024-07-11 02:12:24,Morpho,Base,42233616.28105,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,Velodrome,Optimism,86036995.87955,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,Velodrome,Optimism,87648765.0206,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,Velodrome,Optimism,87977537.92650999,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 00:00:00,Velodrome,Optimism,88315865.58162001,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 02:12:27,Velodrome,Optimism,88654193.23673,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,Aerodrome,Base,485102837.71783,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,Aerodrome,Base,488836025.86786,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,Aerodrome,Base,491662951.47830003,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:00:00,Aerodrome,Base,496201345.79751503,198614.72293,500739740.11673,500541125.39379996
2024-07-11 02:12:30,Aerodrome,Base,500739740.11673,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,ionic-protocol,Mode,167073991.13984,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,ionic-protocol,Mode,167823978.20561,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,ionic-protocol,Mode,169039827.98722,400.21497,4099300.83197,4098900.617
2024-07-11 01:05:59,ionic-protocol,Mode,169049541.73854,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,extra-finance,Base,82243496.02032,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,extra-finance,Base,82373563.0059,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,extra-finance,Base,83404327.03671,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:19:11,extra-finance,Base,87779661.88972,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,stargate-v2,Base,12237294.41654,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,stargate-v2,Base,12498887.06257,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,stargate-v2,Base,13907086.86014,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:00:00,stargate-v2,Base,13464958.26418,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:09:59,stargate-v2,Base,13348870.28452,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,stargate-v2,Optimism,27504803.20125,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,stargate-v2,Optimism,29030790.44639,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,stargate-v2,Optimism,29395492.5235,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 00:00:00,stargate-v2,Optimism,29218050.43735,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 01:09:59,stargate-v2,Optimism,29207095.39496,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,balancer-v2,Fraxtal,156.40736,156.40736,232848.60441,232692.19705
2024-07-09 00:00:00,balancer-v2,Fraxtal,303.52226,156.40736,232848.60441,232692.19705
2024-07-10 00:00:00,balancer-v2,Fraxtal,9711.55721,156.40736,232848.60441,232692.19705
2024-07-11 01:05:59,balancer-v2,Fraxtal,78152.67325,156.40736,232848.60441,232692.19705
2024-07-08 00:00:00,beefy,Base,53838397.45342,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,beefy,Base,53338806.98804,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,beefy,Base,53653367.70454,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:37:59,beefy,Base,54781673.32851,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,beefy,Optimism,26709019.1226,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,beefy,Optimism,27010727.30012,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,beefy,Optimism,27862179.87348,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 00:37:59,beefy,Optimism,28262960.24211,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,beefy,Mode,524851.47408,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,beefy,Mode,546560.94533,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,beefy,Mode,557017.398,400.21497,4099300.83197,4098900.617
2024-07-11 00:37:59,beefy,Mode,563334.33842,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,beefy,Fraxtal,2569400.38272,156.40736,232848.60441,232692.19705
2024-07-09 00:00:00,beefy,Fraxtal,2581606.59308,156.40736,232848.60441,232692.19705
2024-07-10 00:00:00,beefy,Fraxtal,2614595.4088,156.40736,232848.60441,232692.19705
2024-07-11 00:37:59,beefy,Fraxtal,2639917.56248,156.40736,232848.60441,232692.19705
2024-07-08 00:00:00,balancer-v2,Mode,400.21497,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,balancer-v2,Mode,499.04257,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,balancer-v2,Mode,15005.31245,400.21497,4099300.83197,4098900.617
2024-07-11 01:05:59,balancer-v2,Mode,66091.39119,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,toros,Optimism,19606549.36389,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,toros,Optimism,21637410.32152,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,toros,Optimism,22691864.99727,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 01:12:11,toros,Optimism,22968338.5494,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,sturdy-v2,Mode,18855568.98958,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,sturdy-v2,Mode,18781374.17958,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,sturdy-v2,Mode,18570525.34759,400.21497,4099300.83197,4098900.617
2024-07-11 01:20:11,sturdy-v2,Mode,18582647.29224,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,contango-v2,Base,198614.72293,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,contango-v2,Base,207396.23918,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,contango-v2,Base,202692.18919,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:22:11,contango-v2,Base,205769.28553,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,moonwell,Base,77176460.31067,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,moonwell,Base,75880623.35699,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,moonwell,Base,75951700.68742,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:35:59,moonwell,Base,73901550.08804,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,curve-dex,Fraxtal,12150803.01602,156.40736,232848.60441,232692.19705
2024-07-09 00:00:00,curve-dex,Fraxtal,12299632.40528,156.40736,232848.60441,232692.19705
2024-07-10 00:00:00,curve-dex,Fraxtal,12436894.04283,156.40736,232848.60441,232692.19705
2024-07-11 01:17:11,curve-dex,Fraxtal,12839552.46018,156.40736,232848.60441,232692.19705
2024-07-08 00:00:00,silo-finance,Optimism,11816343.97058,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,silo-finance,Optimism,12066509.68904,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,silo-finance,Optimism,13017808.13283,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 00:19:23,silo-finance,Optimism,14491935.8725,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,uniswap-v3,Base,147321140.91626,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,uniswap-v3,Base,151616971.85604,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,uniswap-v3,Base,156298356.46734,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:18:11,uniswap-v3,Base,158920289.15983,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,aave-v3,Base,63120133.5344,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,aave-v3,Base,62117980.05373,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,aave-v3,Base,63072700.80745,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:04:59,aave-v3,Base,65092789.3489,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,fraxlend,Fraxtal,63980.28433,156.40736,232848.60441,232692.19705
2024-07-09 00:00:00,fraxlend,Fraxtal,48300.0682,156.40736,232848.60441,232692.19705
2024-07-10 00:00:00,fraxlend,Fraxtal,58176.54882,156.40736,232848.60441,232692.19705
2024-07-11 01:38:47,fraxlend,Fraxtal,232848.60441,156.40736,232848.60441,232692.19705
2024-07-08 00:00:00,compound-v3,Optimism,9344756.32025,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,compound-v3,Optimism,9614720.6257,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,compound-v3,Optimism,9932577.99178,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 01:18:11,compound-v3,Optimism,10488307.32211,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,velodrome,Mode,3652262.9812,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,velodrome,Mode,3729805.4646,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,velodrome,Mode,3823005.92948,400.21497,4099300.83197,4098900.617
2024-07-11 00:00:00,velodrome,Mode,3961153.380725,400.21497,4099300.83197,4098900.617
2024-07-11 02:02:54,velodrome,Mode,4099300.83197,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,splice-finance,Mode,1358802.00085,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,splice-finance,Mode,1422231.15983,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,splice-finance,Mode,1478262.41487,400.21497,4099300.83197,4098900.617
2024-07-11 01:22:11,splice-finance,Mode,1602460.48066,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,ra-exchange,Fraxtal,2927940.35598,156.40736,232848.60441,232692.19705
2024-07-09 00:00:00,ra-exchange,Fraxtal,2971318.52573,156.40736,232848.60441,232692.19705
2024-07-10 00:00:00,ra-exchange,Fraxtal,3039296.04536,156.40736,232848.60441,232692.19705
2024-07-11 01:09:59,ra-exchange,Fraxtal,3177566.80078,156.40736,232848.60441,232692.19705
