protocol,chain
Renzo,Base
Renzo,Mode
Renzo,Optimism
ether.fi-stake,Base
Morpho,Base
Velodrome,Optimism
Aerodrome,Base
ionic-protocol,Mode
lido,Optimism
lido,Base
bedrock-unieth,Optimism
swell-liquid-restaking,Base
extra-finance,Base
stargate-v2,Fraxtal
stargate-v2,Mode
stargate-v2,Base
stargate-v2,Optimism
balancer-v2,Fraxtal
beefy,Base
beefy,Optimism
beefy,Mode
beefy,Fraxtal
balancer-v2,Mode
glyph,fraxtal
toros,Optimism
sturdy-v2,Mode
contango-v2,Mode
contango-v2,Base
gearbox,Optimism
moonwell,Optimism
moonwell,Base
stakestone,Mode
curve-dex,Fraxtal
silo-finance,Optimism
uniswap-v3,Base
aave-v3,Base
fraxlend,Fraxtal
compound-v3,Optimism
velodrome,Mode
splice-finance,Mode
ra-exchange,Fraxtal
spectra-v2,Base